date,open,high,low,close,tradecount,date_ordinal,processed_log_return,TI_SMA_5_Feature,TI_SMA_14_Feature,TI_SMA_21_Feature,TI_EMA_5_Feature,TI_EMA_14_Feature,TI_EMA_21_Feature,MI_RSI_5_Feature,MI_RSI_14_Feature,MI_RSI_21_Feature,MI_MACD_12_26_Feature,MI_Signal_Line_12_26_Feature,MI_MACD_8_17_Feature,MI_Signal_Line_8_17_Feature,MI_MACD_13_30_Feature,MI_Signal_Line_13_30_Feature,VolI_BB_Middle_Band_20_1_Feature,VolI_BB_Upper_Band_20_1_Feature,VolI_BB_Lower_Band_20_1_Feature,VolI_BB_Middle_Band_20_2_Feature,VolI_BB_Upper_Band_20_2_Feature,VolI_BB_Lower_Band_20_2_Feature,VolI_BB_Middle_Band_20_3_Feature,VolI_BB_Upper_Band_20_3_Feature,VolI_BB_Lower_Band_20_3_Feature,MI_Stochastic_Osclilator_percK_5_Feature,MI_Stochastic_Osclilator_percD_5_Feature,MI_Stochastic_Osclilator_percK_14_Feature,MI_Stochastic_Osclilator_percD_14_Feature,MI_Stochastic_Osclilator_percK_21_Feature,MI_Stochastic_Osclilator_percD_21_Feature,VolI_ATR_5_Feature,VolI_ATR_14_Feature,VolI_ATR_21_Feature,close_log_returns,open_log_returns,high_log_returns,low_log_returns,close_perc_change,high_low_range,close_open_range
2022-01-26,36958.32,38919.98,36234.63,36809.34,1248246.0,1643068800.0,0.0080950016385566,36275.99,40282.37785714286,40959.49285714286,37197.81123933025,39474.3409677347,40727.47297832222,25.17078220316712,28.2077386153629,26.34120512097229,-2389.077136717795,-1902.948383886372,-2018.1546434050251,-1621.3188227081837,-2641.343097125602,-2047.4074873842194,40834.91100000001,43646.654090571756,38023.16790942826,40834.91100000001,46458.39718114351,35211.4248188565,40834.91100000001,49270.14027171527,32399.68172828475,49.38572596522231,36.09646774034193,34.88914194544857,29.507495576051962,28.55365322695179,23.537491890173524,2713.2951888567195,2361.0471133152128,2248.7361600361996,0.008095001638556682,0.011406764386201865,-0.00012943580654585396,0.08118429346231505,0.008127854753159802,1844.1399999999994,297.97000000000116
2022-01-27,36807.24,37234.47,35507.01,37160.1,1584468.0,1643155200.0,-0.0040391738751032,36348.795999999995,39775.71214285714,40643.217142857146,37068.320826220166,39119.00750537007,40371.279071202014,55.33804332843561,20.96823307532121,29.899640288422972,-2390.07714074682,-2000.3741352584618,-1930.5069008197388,-1683.156438330495,-2663.1032826700757,-2159.3521774361934,40521.2625,43417.712204470125,37624.81279552987,40521.2625,46314.16190894026,34728.363091059735,40521.2625,49210.61161341039,31831.913386589607,64.83913367239667,49.859489483585435,33.60292778189784,33.60289900366893,33.60292778189784,29.241368078004673,2707.706151085377,2384.211605221269,2269.5272952725713,-0.004039173875103207,0.008095001638556682,0.0359638010394599,0.014836591789498626,-0.004031027384361674,2685.350000000006,-148.9800000000032
2022-01-28,37160.11,38000.0,36155.01,37716.56,1308408.0,1643241600.0,0.0094839876878423,36766.532,39389.99714285714,40361.20714285714,37098.91388414678,38857.819837987394,40079.35370109274,93.75775148325668,25.94583903876189,32.05772590194452,-2335.6424186527875,-2067.427791937327,-1783.2707602467126,-1703.1793027137387,-2628.527917321684,-2244.6568574153735,40300.9435,43280.10906150117,37321.77793849883,40300.9435,46259.27462300234,34342.61237699766,40300.9435,49238.44018450352,31363.44681549649,70.6823970773687,61.635752238329225,38.98737736415987,35.82648236383543,36.63120325516302,32.92926142133755,2511.6569208683013,2337.3007762768925,2243.7145669262586,0.009483987687842301,-0.004096226240224515,-0.04427279830145129,-0.02028514961077001,0.009529103211304513,1727.4599999999991,352.8600000000006
2022-01-29,37716.57,38720.74,37268.44,38166.84,1061101.0,1643328000.0,0.0148636502954723,37060.933999999994,39008.32571428572,40177.87761904762,37304.79592276452,38705.65185958908,39864.55427372067,91.58290818488432,26.317445684451286,37.61616918015407,-2221.9871529819357,-2098.339664146249,-1575.6176072518574,-1677.6669636213626,-2532.9841873435143,-2297.080008311399,40102.7845,43117.011641188736,37088.55735881127,40102.7845,46131.23878237747,34074.33021762253,40102.7845,49145.465923566204,31060.1030764338,79.95238896450155,71.82463990475564,44.1005694290915,38.89695819171641,41.43538323535784,37.223171424139565,2378.3235366946406,2302.135720828543,2224.7276827869127,0.014863650295472364,0.009541309158769435,0.02035121458477925,0.01808538643729713,0.01497466368497391,1844.989999999998,556.4499999999971
2022-01-30,38166.83,38359.26,37351.63,37881.76,816601.0,1643414400.0,0.0118678204974371,37362.232,38657.07928571429,40010.596666666665,37592.14394850968,38633.810278310535,39710.21661247334,91.74374463132794,28.99827030259027,38.940039644459226,-2071.6994416673697,-2093.011619650473,-1343.1196840146295,-1610.757507700016,-2397.75221780024,-2315.384046400279,39917.8955,42931.774604257305,36904.01639574269,39917.8955,45945.65370851461,33890.137291485386,39917.8955,48959.53281277191,30876.258187228086,77.93300263406925,76.18926289197984,49.58211455982951,44.22335378436029,45.32286151139227,41.12981600063771,2193.1188293557116,2241.43316934079,2187.9454121780122,0.011867820497437117,0.01486364632515818,0.018789214069614656,0.030331327680132216,0.011938522495158699,1452.2999999999956,450.2699999999968
2022-01-31,37881.75,38744.0,36632.61,38466.9,698593.0,1643500800.0,-0.0074973460488602,37546.92,38286.37214285714,39820.93666666667,37688.68263233978,38533.53690786914,39543.99328406667,75.7719529348725,28.338773091145853,37.539045487993526,-1953.0849733534778,-2065.0262903910743,-1180.8924856280355,-1524.7845032856198,-2289.551724085366,-2310.6872605248404,39720.859000000004,42732.483651289025,36709.23434871098,39720.859000000004,45744.108302578046,33697.60969742196,39720.859000000004,48755.73295386707,30685.98504613294,69.58016038816629,75.8218506622457,46.889589273722784,46.857424420881266,42.8616322608551,43.20662566920174,1956.0210634845703,2153.3043715307335,2131.739916360012,-0.007497346048860223,0.01186729335436762,-0.009379414894885255,0.0022296959642419396,-0.0074693110564038045,1007.6300000000047,-285.0699999999997
2022-02-01,38466.9,39265.2,38000.0,38694.59,936014.0,1643587200.0,0.0153284014936499,37878.432,38019.60642857143,39661.14666666667,37948.088421559856,38524.65198681992,39446.07571278788,87.20305963047443,34.03256148031605,39.8465418046195,-1791.2181964881456,-2010.2646716104887,-974.5620154933931,-1414.7400057271745,-2135.8495611611215,-2278.898587913255,39507.7395,42445.16708415643,36570.31191584358,39507.7395,45382.59466831285,33632.88433168716,39507.7395,48320.02225246927,30695.456747530734,91.43957812659296,79.65091371627618,52.41612303937636,49.62927562430955,47.91342012271615,45.36597129832118,1987.094850787656,2150.3104878499666,2130.7708727238214,0.015328401493649993,-0.007497348020604344,0.009979946199812914,-0.01943772453457184,0.015446484007078931,2111.3899999999994,585.1500000000015
2022-02-02,38694.59,38855.92,36586.95,36896.36,917617.0,1643673600.0,0.0059016657367129,38185.33,37758.35428571428,39469.0180952381,38196.92228103991,38547.31038857726,39377.758829807164,86.4547549473786,34.46511592347595,37.26843232613412,-1625.8234488416492,-1933.376427056721,-782.5516406967654,-1288.3023327210929,-1975.0817940130219,-2223.6591708404853,39247.335999999996,41999.66345224151,36495.00854775848,39247.335999999996,44751.99090448302,33742.68109551697,39247.335999999996,47504.318356724536,30990.353643275455,81.65353242084883,80.89109031186936,54.56661091082873,51.29077440797596,49.87917460586055,46.8847423298106,1842.7158806301243,2087.0883101463974,2089.553212117925,0.005901665736712944,0.015328665472972016,0.01336272530774203,0.03664733240278908,0.005919114875386322,1265.199999999997,227.68999999999505
2022-02-03,36896.37,37387.0,36250.0,37311.61,907905.0,1643760000.0,-0.0475868957877958,38021.29,37418.09357142857,39135.38476190476,37763.401520693275,38327.1836701003,39152.17711800651,37.74511268758851,31.504855914415998,28.730270331970843,-1621.161313804172,-1870.9334044062114,-830.2847978572026,-1196.698825748315,-1968.8428766314682,-2177.3289355297547,38964.148499999996,41648.20998507167,36280.08701492832,38964.148499999996,44332.27147014334,33596.02552985665,38964.148499999996,47016.33295521502,30911.96404478497,11.552692989825577,61.548601179089125,37.58267747026541,48.18847047349016,34.354212226200346,44.04893565159235,1927.9667045040994,2100.079859421655,2098.0968686837377,-0.04758689578779582,0.005901665736712944,-0.010478184251430812,-0.03789454027781014,-0.046472388000493026,2268.970000000001,-1798.229999999996
2022-02-04,37311.98,41772.33,37026.73,41574.25,848961.0,1643846400.0,0.0111916370777332,37850.244,37177.42928571429,38885.45619047619,37612.804347128855,38191.773847420256,38984.85283455138,37.08654069741106,36.31951899667538,33.115998255142884,-1565.9085149707753,-1809.9284265191243,-796.6457510086839,-1116.6882108003888,-1913.1631191307606,-2129.298787093574,38676.731,41202.20719607183,36151.25480392817,38676.731,43727.683392143656,33625.778607856344,38676.731,46253.15958821549,31100.302411784513,35.20860971079867,42.80494504049102,53.703180928847374,48.6174897699805,40.37957038748195,41.53765240651429,1769.7733636032797,2031.2884408915365,2052.330351127369,0.01119163707773322,-0.047586624758386716,-0.03853739574429275,-0.009252238147891792,0.011254497733651725,1137.0,415.23999999999796
