date,cpc_embedding_0,cpc_embedding_1,cpc_embedding_2,cpc_embedding_3,cpc_embedding_4,cpc_embedding_5,cpc_embedding_6,cpc_embedding_7,cpc_embedding_8,cpc_embedding_9,cpc_embedding_10,cpc_embedding_11,cpc_embedding_12,cpc_embedding_13,cpc_embedding_14,cpc_embedding_15
2022-01-29,-0.8035311,-0.992282,-0.87046707,-0.9716776,0.42894396,-0.3862222,0.9908085,0.99964106,-0.3470761,0.01549249,0.68683094,0.95943105,0.16560858,0.31855854,0.85164535,0.58313346
2022-01-30,-0.86222,-0.9665177,-0.7189805,-0.84510946,0.8297248,0.36920503,0.9972489,0.9945285,-0.53544486,0.12397354,0.49008015,0.96858466,-0.23872393,0.72463393,0.6476441,0.7032525
2022-01-31,-0.87469727,-0.9251058,-0.4916022,-0.6672056,0.95152575,0.5465292,0.9989781,0.9684332,-0.5308772,0.16379926,0.20519929,0.9528338,-0.5473712,0.73245806,0.32486132,0.60955834
2022-02-01,-0.8481156,-0.88045406,-0.13936512,-0.4963816,0.9768928,0.4303305,0.99960655,0.9498197,-0.6167648,0.21815781,0.0114505775,0.89198136,-0.72186685,0.7713208,0.029256955,0.55629677
2022-02-02,-0.8402465,-0.8484369,0.3503835,-0.34040067,0.97785634,0.28626388,0.9997896,0.95018524,-0.644172,0.23383395,-0.13487288,0.7892425,-0.8239222,0.8459425,-0.17948395,0.5321398
2022-02-03,-0.87445927,-0.868099,0.76706785,-0.2341204,0.9716433,0.0009116069,0.9998326,0.9687359,-0.47372627,0.121747024,-0.33187717,0.5800888,-0.8896728,0.8736213,-0.23485872,0.39661163
2022-02-04,-0.91521007,-0.9094624,0.9330373,-0.25107375,0.95559305,-0.38381627,0.9997601,0.9846904,0.024023041,-0.12709518,-0.49565548,0.19621402,-0.9292057,0.8611177,-0.15821657,0.20361923
2022-02-05,-0.9559371,-0.93899006,0.9651128,-0.36444727,0.91525775,-0.6840722,0.9998035,0.99301493,0.30919048,-0.43127298,-0.6415361,-0.1657681,-0.9491246,0.8708687,0.0031882823,0.18227312
2022-02-06,-0.98558545,-0.9608046,0.9819742,-0.48001054,0.944183,-0.69323146,0.99980646,0.9963706,0.71063244,-0.6754559,-0.7868001,-0.3120109,-0.95883536,0.85954416,0.2089965,0.14429997
2022-02-07,-0.9968534,-0.9717834,0.9773158,-0.551463,0.9882924,-0.08619571,0.9998041,0.99598014,0.9194455,-0.83379716,-0.9116022,0.15111654,-0.9624895,0.73583454,0.38600942,-0.077855185
2022-02-08,-0.998099,-0.93562406,0.7789661,-0.54595006,0.99661255,0.72725576,0.9999671,0.9555537,0.75213504,-0.78952825,-0.96008515,0.8379102,-0.969667,0.61887485,0.49721086,0.26421934
2022-02-09,-0.99636436,-0.7389577,-0.124958426,-0.43677866,0.9983393,0.9004413,0.99999684,0.7441616,-0.32845795,-0.65446264,-0.95822215,0.9384335,-0.97386396,0.70962113,0.39566427,0.4138566
2022-02-10,-0.9909604,-0.45630774,-0.28658357,-0.22400564,0.99959975,0.9256834,0.9999962,0.20481297,-0.40279463,-0.21939805,-0.84873617,0.95793635,-0.98162884,0.73976785,0.060104728,0.40986064
2022-02-11,-0.97923845,-0.17767368,-0.52272063,0.0056355596,0.9995165,0.8762435,0.9999961,-0.12575398,-0.67600983,0.28467217,-0.7090959,0.9706896,-0.9877863,0.67878103,-0.36374652,0.12374127
2022-02-12,-0.8362076,-0.021357901,-0.25108165,0.2465905,0.9973406,0.6202159,0.9999891,0.0040685646,-0.8322672,0.6437903,-0.28918204,0.8949607,-0.99205863,0.77082276,-0.69374394,0.003460496
2022-02-13,-0.455575,-0.39985517,0.61508787,0.36364856,0.9827243,0.039375506,0.99985594,0.6035829,-0.70723313,0.74248445,-0.032747813,0.5362729,-0.9953169,0.7972556,-0.79943573,-0.17111784
2022-02-14,-0.34681192,-0.76208174,0.94855285,0.06386495,0.75586736,-0.86225075,0.99914026,0.89570355,-0.27950424,0.6014993,0.023945548,-0.15627594,-0.9960228,0.76711196,-0.7527038,-0.48140773
2022-02-15,-0.58792526,-0.9189944,0.9788508,-0.27676135,0.19536163,-0.9882525,0.99547327,0.97028303,0.5580207,0.47720873,0.10289839,-0.26828945,-0.96456856,0.47265,-0.55139995,-0.7173832
2022-02-16,-0.77278084,-0.97223175,0.928021,-0.47367805,-0.074858874,-0.9942353,0.9920356,0.9917328,0.81810385,0.23703943,0.14981878,0.17992732,-0.81753397,-0.2117151,-0.2046099,-0.8201291
2022-02-17,-0.825559,-0.9887293,0.22647274,-0.5904044,-0.042637557,-0.9724725,0.991215,0.9974924,0.67033094,0.3296635,0.1886872,0.84652007,-0.79038596,-0.69323623,0.1672697,-0.8249567
2022-02-18,-0.73859566,-0.9943887,-0.86428773,-0.6513466,0.30174965,-0.76365,0.9902859,0.99854696,0.08037264,0.71603334,0.43048513,0.98463994,-0.8369322,-0.8579387,0.35587656,-0.79160804
2022-02-19,-0.055537775,-0.99399877,-0.9626301,-0.6840476,0.3643771,-0.7828722,0.99234104,0.99812436,-0.7037828,0.91961294,0.8015957,0.9863931,-0.88351417,-0.6495609,0.019626081,-0.5653608
2022-02-20,0.7149769,-0.995841,-0.918614,-0.72852933,-0.097207695,-0.9735987,0.99094325,0.9995377,-0.93998194,0.9716332,0.9278234,0.95077246,-0.92302823,-0.11781433,-0.37234783,-0.43314543
2022-02-21,0.82054645,-0.9993776,-0.20557836,-0.80717176,-0.42853832,-0.99869204,0.9367709,0.99991083,-0.80840814,0.9788231,0.9604977,0.7707933,-0.94398,-0.22193034,-0.3327052,-0.695197
2022-02-22,0.7736242,-0.99994344,0.6092249,-0.87982583,-0.66868025,-0.99995565,0.94945914,0.99998564,0.0457943,0.9544578,0.97097856,0.021734983,-0.83200794,-0.2616845,-0.08006379,-0.91953874
2022-02-23,0.40402886,-0.9999922,0.6119055,-0.9253735,-0.8391777,-0.9999932,0.976793,0.99999744,0.22113687,0.914138,0.9739529,-0.21913475,-0.44127625,-0.35908112,0.2542741,-0.9399975
2022-02-24,0.100426376,-0.99999803,0.58171594,-0.9544512,-0.9114979,-0.99999404,0.9824173,0.9999995,0.35632312,0.7746739,0.97523886,-0.5115585,-0.03360468,-0.09520181,0.50979435,-0.9049731
2022-02-25,-0.4125614,-0.9999982,0.5980145,-0.97172195,-0.86046827,-0.99998003,0.9628335,0.99999994,0.8330554,0.45234817,0.9697601,-0.26159865,0.3107834,-0.2163027,0.6651896,-0.8729554
2022-02-26,-0.7469582,-0.9999895,0.010107281,-0.9800231,-0.62087023,-0.9994642,0.9475169,0.9999998,0.8909801,-0.06708802,0.92292327,0.46805182,0.47091994,-0.4688231,0.7807003,-0.80594975
2022-02-27,-0.81650996,-0.99980015,-0.717973,-0.98367345,-0.3203352,-0.9791583,0.9888688,0.99999684,0.48558548,-0.31181023,0.76057655,0.79248595,0.40777004,-0.291859,0.85990673,-0.4751885
2022-02-28,-0.8758319,-0.99795663,-0.8704631,-0.97232556,0.57485867,-0.54342204,0.9825471,0.9997559,0.53421,-0.14347957,0.5939622,0.96833336,0.0966723,-0.36726758,0.86781716,-0.11297722
2022-03-01,-0.8690098,-0.98937345,-0.9058229,-0.9311016,0.81263524,0.013384005,0.99646467,0.9981906,-0.082356766,-0.015681278,0.3824613,0.96959895,-0.16007149,0.0537938,0.7393038,0.10279877
2022-03-02,-0.8411155,-0.9659416,-0.8734485,-0.80564654,0.9289077,0.2428105,0.99858356,0.9865654,-0.39101258,0.27982947,0.31542572,0.9760478,-0.42360222,0.21616039,0.45348895,0.2197801
2022-03-03,-0.82832503,-0.96183175,-0.80414075,-0.6496689,0.96925586,0.27686083,0.99825156,0.96597093,-0.16834481,0.4823138,0.29443356,0.98147434,-0.6653656,-0.059282474,0.18335304,-0.22249384
2022-03-04,-0.8251512,-0.9543253,-0.9145782,-0.51372707,0.98478943,0.5307326,0.9982497,0.8553516,0.08720531,0.66983086,0.2913366,0.9947113,-0.7918016,-0.5557765,-0.09473851,-0.6457439
2022-03-05,-0.23820958,-0.91608286,-0.96544546,-0.4212704,0.89282024,-0.1925987,0.9995437,0.92369163,-0.7452541,0.8266856,0.55669355,0.9835467,-0.83988273,-0.42208937,-0.4941069,-0.5728788
2022-03-06,0.64038163,-0.9634836,-0.82204694,-0.44528863,0.47915107,-0.89381814,0.9938421,0.98403955,-0.88262975,0.9554336,0.8259483,0.9383827,-0.8966079,-0.07612057,-0.6675862,-0.46568018
2022-03-07,0.76118904,-0.99422175,0.6399521,-0.61315435,-0.09763497,-0.9970047,0.9650505,0.99643725,-0.4971257,0.9359462,0.89086235,0.26053762,-0.92306286,0.26223516,-0.5546198,-0.6795484
2022-03-08,0.4115898,-0.99919397,0.93362373,-0.7574432,-0.54568803,-0.9999425,0.97704506,0.9992919,0.46776557,0.8802175,0.90651405,-0.3599083,-0.75166255,0.050727814,-0.19418553,-0.910728
2022-03-09,-0.2008445,-0.99988765,0.9078408,-0.8442712,-0.77307117,-0.9999885,0.97588724,0.999871,0.89250714,0.6431035,0.91291255,-0.4955726,-0.16836256,-0.31927928,0.16261727,-0.9545106
2022-03-10,-0.5291824,-0.9999734,0.58291036,-0.89540255,-0.85389286,-0.99995863,0.98470235,0.9999723,0.78731745,0.25033242,0.90854526,-0.29432473,0.1567964,-0.22047831,0.4583487,-0.8907694
2022-03-11,-0.74761456,-0.9999614,-0.14641154,-0.92533517,-0.5600656,-0.9982694,0.954644,0.9999928,0.7765004,0.059171285,0.8631163,0.62882656,0.29819298,-0.49671912,0.64343405,-0.7078081
2022-03-12,-0.80468327,-0.9994894,-0.8539813,-0.9377042,0.058133587,-0.90105134,0.975036,0.9999641,0.36798045,0.15029469,0.7611884,0.94887024,0.0904651,-0.5377631,0.76074165,-0.43492386
2022-03-13,-0.6136158,-0.9931647,-0.9518911,-0.92716604,0.45304555,-0.45577785,0.9928353,0.9993735,-0.5499589,0.5371423,0.8052682,0.97802675,-0.15067822,0.009750153,0.6265942,0.20171092
2022-03-14,0.06857917,-0.9869807,-0.53719825,-0.9000398,0.30581254,-0.8702759,0.9977412,0.9997116,-0.8844672,0.4820781,0.8767715,0.6737217,-0.38172096,0.86353487,0.20602557,0.6236194
2022-03-15,-0.28833526,-0.9952185,0.8775671,-0.908509,0.40276837,-0.9642951,0.9782629,0.99989516,-0.06922515,0.33671036,0.8751864,0.11890341,-0.6610011,0.88760823,0.24137741,0.42247015
