date,trans_embedding_0,trans_embedding_1,trans_embedding_2,trans_embedding_3,trans_embedding_4,trans_embedding_5,trans_embedding_6,trans_embedding_7,trans_embedding_8,trans_embedding_9,trans_embedding_10,trans_embedding_11,trans_embedding_12,trans_embedding_13,trans_embedding_14,trans_embedding_15,trans_embedding_16,trans_embedding_17,trans_embedding_18,trans_embedding_19,trans_embedding_20,trans_embedding_21,trans_embedding_22,trans_embedding_23,trans_embedding_24,trans_embedding_25,trans_embedding_26,trans_embedding_27,trans_embedding_28,trans_embedding_29,trans_embedding_30,trans_embedding_31,trans_embedding_32,trans_embedding_33,trans_embedding_34,trans_embedding_35,trans_embedding_36,trans_embedding_37,trans_embedding_38,trans_embedding_39,trans_embedding_40,trans_embedding_41,trans_embedding_42,trans_embedding_43,trans_embedding_44,trans_embedding_45,trans_embedding_46,trans_embedding_47,trans_embedding_48,trans_embedding_49,trans_embedding_50,trans_embedding_51,trans_embedding_52,trans_embedding_53,trans_embedding_54,trans_embedding_55,trans_embedding_56,trans_embedding_57,trans_embedding_58,trans_embedding_59,trans_embedding_60,trans_embedding_61,trans_embedding_62,trans_embedding_63
2022-03-02,1.3237139,-0.87844837,-1.2029178,-1.0733638,0.19899121,0.57314116,-0.25100097,0.8411134,-1.6413294,-0.30918944,-0.65870076,1.9668907,0.26757187,1.0015503,0.67893535,-0.5194962,0.31830922,-0.33265647,-2.5776474,0.41566005,0.5609602,1.0405707,0.06635063,-0.89883256,-1.6518805,-0.23457727,-0.43663135,1.4733921,0.94911027,-0.52208745,-1.0316204,0.017842995,0.3068884,0.9414823,0.8145419,1.0722495,-0.64414704,1.4762509,1.031365,0.11169271,0.8009954,0.52874446,-0.40713188,0.034925867,-1.2632062,0.75568265,0.0026055058,-1.0286548,1.8490196,-1.2612413,-0.45776787,-1.1102338,-0.5850946,-1.5603243,0.0062127844,-0.27589172,-0.20741063,-0.656457,0.96420604,1.9575001,0.63131005,-1.2778364,-0.75327194,0.7268226
2022-03-03,1.3014976,-0.8860353,-1.2154638,-1.076152,0.19651636,0.5744273,-0.23928112,0.8393165,-1.6415639,-0.3169261,-0.65958565,1.9456569,0.26561233,1.0192809,0.68244463,-0.5162768,0.34110102,-0.33102843,-2.5771136,0.40513176,0.5781928,1.0559186,0.04599527,-0.90646666,-1.6629761,-0.24378705,-0.45592198,1.4769653,0.96754724,-0.5132329,-1.0411348,0.009322198,0.3007363,0.95644164,0.8227826,1.0736165,-0.64540213,1.4951576,1.0122677,0.12562503,0.80194265,0.53106534,-0.38898772,0.026503587,-1.2786602,0.7617322,0.00055464805,-1.002814,1.8458732,-1.2621348,-0.46871015,-1.0932336,-0.5758047,-1.5793222,0.015536747,-0.27921247,-0.19391277,-0.6536326,0.9624582,1.9450574,0.6276322,-1.2745649,-0.7529678,0.71992505
2022-03-04,1.305524,-0.89912,-1.2086972,-1.0846145,0.17819902,0.58605844,-0.23446482,0.8338503,-1.6389048,-0.32477075,-0.6594981,1.9271472,0.26522228,1.0146354,0.7010324,-0.49522075,0.34040928,-0.34598395,-2.5783508,0.4094988,0.5900942,1.0836635,0.039400768,-0.91970813,-1.654557,-0.23608139,-0.4692594,1.4710288,0.9863949,-0.50546485,-1.0498863,0.012740751,0.29831696,0.95336044,0.82467294,1.0752038,-0.63095164,1.4807136,0.9932104,0.13660757,0.7994579,0.5222153,-0.39842382,0.025828633,-1.2893181,0.7638411,0.013677236,-1.0028301,1.8416522,-1.2562579,-0.46274203,-1.0884526,-0.563856,-1.577682,0.009544075,-0.27866018,-0.18810846,-0.6591708,0.95372254,1.9460623,0.6392281,-1.2768471,-0.7649157,0.71811473
2022-03-05,1.3090137,-0.9091895,-1.1969827,-1.1030134,0.15264225,0.5983687,-0.22455926,0.83472216,-1.6326008,-0.33885148,-0.66250855,1.9116973,0.26721933,1.007963,0.711737,-0.47773495,0.3408777,-0.35598832,-2.5805094,0.41866446,0.5990559,1.1141568,0.051088337,-0.9169956,-1.6490906,-0.22367899,-0.4732224,1.4650142,1.0071492,-0.49481,-1.053323,0.014628356,0.29971698,0.9437946,0.82164603,1.0842052,-0.6048499,1.4649255,0.9657459,0.14300264,0.79387194,0.5136953,-0.41559142,0.027882136,-1.2930964,0.7633483,0.024869632,-1.0123566,1.8347261,-1.2466763,-0.45182946,-1.0855942,-0.5621158,-1.569219,-0.0074561588,-0.29348385,-0.19698454,-0.6595455,0.9522905,1.946257,0.6560636,-1.2830797,-0.77784973,0.71029866
2022-03-06,1.309772,-0.90955293,-1.1966754,-1.0931107,0.1480601,0.5994891,-0.22706729,0.8442202,-1.6360577,-0.331353,-0.6724602,1.9028237,0.25163612,1.000421,0.7167685,-0.48787785,0.33770922,-0.3521599,-2.583449,0.41877303,0.60113496,1.1080098,0.0599883,-0.90804696,-1.6664157,-0.22229129,-0.47391036,1.4552215,1.016697,-0.49755803,-1.0494422,0.018812602,0.3116692,0.93512607,0.80468255,1.0863203,-0.5907199,1.4731694,0.9720648,0.13997398,0.79714096,0.5154205,-0.4238509,0.018703656,-1.2970797,0.77187675,0.023283755,-1.0102333,1.8412936,-1.2409817,-0.45270738,-1.0890425,-0.5708663,-1.5666138,0.000866357,-0.28549436,-0.19768049,-0.6605451,0.9504975,1.9492588,0.6531488,-1.2772906,-0.7760924,0.7101467
2022-03-07,1.3167078,-0.9165755,-1.2011827,-1.1109263,0.1532929,0.6110489,-0.22113347,0.86345017,-1.6459523,-0.32642996,-0.6831123,1.9049263,0.23648469,1.0017024,0.69268686,-0.5146269,0.34653032,-0.35571566,-2.5788257,0.41929218,0.6036262,1.1097623,0.070090696,-0.8952553,-1.667912,-0.22068128,-0.47170928,1.4567393,1.0091323,-0.5043837,-1.0381384,0.007737172,0.3231757,0.94191414,0.7961838,1.0909848,-0.5805425,1.4807597,0.96610487,0.140923,0.80981284,0.5108481,-0.43761322,0.030287651,-1.2919289,0.78103626,0.009134393,-1.0159541,1.845468,-1.2105421,-0.45414677,-1.0809323,-0.5891053,-1.5535342,0.010290248,-0.29107866,-0.2061634,-0.64876145,0.96001637,1.9470019,0.6462461,-1.2978028,-0.78892344,0.7037525
2022-03-08,1.304359,-0.92163444,-1.1920304,-1.1241473,0.15854526,0.6242311,-0.21792527,0.8680289,-1.6548896,-0.32654858,-0.6819133,1.8919141,0.22813982,1.0113082,0.6823596,-0.52056235,0.36004072,-0.35110673,-2.576373,0.41770154,0.5984619,1.108612,0.06534265,-0.89176345,-1.6742183,-0.21424404,-0.4771125,1.4647636,1.0109428,-0.50466293,-1.0335925,-0.0059444443,0.31713155,0.95030606,0.7969298,1.0906482,-0.56697446,1.4848666,0.9662598,0.15153207,0.8073438,0.51454043,-0.4382364,0.029659165,-1.2991996,0.7855532,0.007134852,-1.0063672,1.8310072,-1.1955826,-0.45805037,-1.0790182,-0.58627343,-1.5616511,0.018289167,-0.28892338,-0.2095258,-0.63958496,0.96841526,1.9477277,0.6384465,-1.3069975,-0.79246414,0.6945347
2022-03-09,1.3135064,-0.91995233,-1.1831138,-1.1148471,0.17473955,0.6258663,-0.23351024,0.86942387,-1.6658155,-0.31811386,-0.67646027,1.900725,0.22687314,1.0095724,0.6792057,-0.5280532,0.35017163,-0.3547803,-2.5846658,0.41891462,0.586687,1.098521,0.06786499,-0.8972328,-1.661255,-0.20343488,-0.47064418,1.4662799,0.99397343,-0.5166089,-1.026012,-0.010467012,0.32921088,0.9526213,0.79542065,1.0877923,-0.5631113,1.4730887,0.98926157,0.14415513,0.80384964,0.5110659,-0.4482619,0.043598134,-1.3021736,0.7874399,-0.0034471303,-1.0081851,1.8296674,-1.1877013,-0.44836992,-1.0824553,-0.58949345,-1.5565484,0.014182806,-0.27047724,-0.20570053,-0.64417267,0.9672823,1.9530705,0.63476163,-1.3168619,-0.7980334,0.6887275
2022-03-10,1.3266428,-0.90312845,-1.1845866,-1.0731755,0.19803755,0.59450215,-0.25665516,0.8642721,-1.6626818,-0.3001049,-0.66849715,1.9269966,0.22798112,0.9904121,0.68490756,-0.52717847,0.32069796,-0.35919282,-2.588864,0.40715104,0.58029777,1.0755045,0.06517557,-0.89807206,-1.6383425,-0.2067694,-0.45122784,1.4522322,0.96920127,-0.5304348,-1.0191627,0.0075029028,0.34448522,0.9455232,0.7926243,1.0768691,-0.5820647,1.4589245,1.0294578,0.1185085,0.80034053,0.5028545,-0.44731632,0.049596228,-1.2964643,0.7775292,-0.02484275,-1.0090234,1.841292,-1.1970944,-0.43035215,-1.0781978,-0.58475107,-1.5393806,0.007782851,-0.24570988,-0.18689209,-0.66064906,0.946106,1.9491829,0.63205034,-1.3138849,-0.79110056,0.6887227
2022-03-11,1.3197384,-0.8990467,-1.1842061,-1.0853989,0.1913186,0.59202075,-0.24832493,0.85698676,-1.6480697,-0.309688,-0.667867,1.9238104,0.23984003,0.99966073,0.6873522,-0.5067771,0.32387155,-0.35655752,-2.5770202,0.408917,0.5847436,1.0801815,0.061856415,-0.8992447,-1.6324089,-0.21599843,-0.4525022,1.4572525,0.9674623,-0.5238085,-1.0283382,0.014394757,0.32599288,0.9475058,0.80346555,1.0719091,-0.5943774,1.4561923,1.0181003,0.119794354,0.7897776,0.506754,-0.43398258,0.045593873,-1.2987767,0.75842893,-0.019166905,-1.0080063,1.835552,-1.209066,-0.42460668,-1.0745265,-0.57288665,-1.5427333,-0.0005279993,-0.25216123,-0.19039851,-0.654356,0.9438655,1.9455181,0.642227,-1.3101126,-0.79006374,0.688489
