date,cpc_embedding_0,cpc_embedding_1,cpc_embedding_2,cpc_embedding_3,cpc_embedding_4,cpc_embedding_5,cpc_embedding_6,cpc_embedding_7,cpc_embedding_8,cpc_embedding_9,cpc_embedding_10,cpc_embedding_11,cpc_embedding_12,cpc_embedding_13,cpc_embedding_14,cpc_embedding_15,cpc_embedding_16,cpc_embedding_17,cpc_embedding_18,cpc_embedding_19,cpc_embedding_20,cpc_embedding_21,cpc_embedding_22,cpc_embedding_23,cpc_embedding_24,cpc_embedding_25,cpc_embedding_26,cpc_embedding_27,cpc_embedding_28,cpc_embedding_29,cpc_embedding_30,cpc_embedding_31,cpc_embedding_32,cpc_embedding_33,cpc_embedding_34,cpc_embedding_35,cpc_embedding_36,cpc_embedding_37,cpc_embedding_38,cpc_embedding_39,cpc_embedding_40,cpc_embedding_41,cpc_embedding_42,cpc_embedding_43,cpc_embedding_44,cpc_embedding_45,cpc_embedding_46,cpc_embedding_47,cpc_embedding_48,cpc_embedding_49,cpc_embedding_50,cpc_embedding_51,cpc_embedding_52,cpc_embedding_53,cpc_embedding_54,cpc_embedding_55,cpc_embedding_56,cpc_embedding_57,cpc_embedding_58,cpc_embedding_59,cpc_embedding_60,cpc_embedding_61,cpc_embedding_62,cpc_embedding_63
2022-03-07,-0.023873974,-0.01680477,-0.05392322,0.15301707,-0.090804674,-0.060487077,-0.052740328,0.08358993,0.034228474,-0.013901841,-0.19757208,-0.06661389,0.073702775,0.02547384,-0.112229116,0.08933103,1.7091632e-05,0.0018633604,-0.15017793,-0.21578485,0.035709,-0.055133387,-0.018412355,-0.19845569,-0.020472907,-0.19969513,-0.23507805,-0.16211735,0.26419297,-0.21209511,-0.16154741,0.05358427,-0.16406296,-0.034075454,0.06666046,0.028383223,0.15885049,-0.20627762,0.18443301,-0.052499875,0.10019724,-0.06046159,-0.03833867,-0.20320387,-0.047058016,0.04663962,0.046364784,0.07671443,0.22210616,-0.06800943,0.06868361,0.20416889,0.021754086,-0.14371419,-0.22533128,-0.10713017,-0.079629794,-0.21064514,-0.19515018,-0.2525819,0.04669764,0.019737305,0.09587527,-0.15642743
2022-03-08,-0.05429541,-0.057748705,-0.031131953,0.1506276,-0.051364988,-0.019801486,0.019131333,0.05786492,-0.10029476,-0.012772336,-0.19049321,-0.108743906,0.09332336,0.014696737,0.0044580325,0.063781664,-0.011330341,-0.0005918863,-0.1547625,-0.19266567,0.029117052,-0.046737697,0.028283656,-0.23902488,-0.14672083,-0.08542861,-0.2042963,-0.1475794,0.18640772,-0.2088096,-0.1891974,-0.0075214356,-0.09646428,-0.052864537,0.15359613,0.025011733,0.15853193,-0.20790178,0.11465825,-0.051268954,0.08120288,-0.050230574,-0.009941756,-0.22814737,0.060217857,0.071769044,0.09183352,0.08853189,0.17542869,-0.0034692958,0.010251962,0.0638571,-0.0043998826,-0.09085208,-0.17114551,-0.10367121,-0.10159129,-0.14718802,-0.11029232,-0.2566006,0.0644943,0.04943201,0.051116474,0.0009207502
2022-03-09,-0.15323716,-0.121733636,0.021506429,0.12667075,0.022309925,-0.099894226,0.03365741,0.0051318556,-0.2380502,0.03325572,-0.17090836,-0.1799349,0.12794438,-0.061742615,0.12067064,0.117782295,0.06992239,-0.09659603,-0.24769652,-0.21411832,0.017868686,0.034078635,-0.0055399872,-0.21498583,-0.22404781,0.042341664,-0.18962505,-0.124494694,0.15401022,-0.2667487,-0.16920853,-0.053029172,-0.03371934,-0.11926223,0.2757015,0.05233673,0.1583377,-0.19436096,0.005387932,-0.0867651,0.11009385,0.06820012,0.062445994,-0.24761263,0.093536705,0.13385627,0.12092087,0.0726241,0.13833499,0.083761886,-0.058845658,-0.030043885,-0.00034875725,-0.08881155,-0.07229599,-0.13659808,-0.14167167,-0.1402379,-0.026137294,-0.19761416,0.021127738,0.05260576,-0.033953007,0.09194359
2022-03-10,-0.36484477,-0.24715419,0.19225365,0.0022527575,0.1338667,-0.36224073,-0.049281053,-0.12531903,-0.40472114,0.1602548,-0.12952684,-0.2662396,0.16513053,-0.23403166,0.27294505,0.3068028,0.2908139,-0.33170038,-0.44944006,-0.2998851,-0.04033748,0.1809254,-0.14481395,-0.13063335,-0.29847637,0.23363228,-0.20789313,-0.06287556,0.14921565,-0.41426098,-0.066716544,-0.07590891,0.048152328,-0.23380476,0.4886482,0.13810477,0.21629581,-0.19354616,-0.16643542,-0.20529982,0.2193002,0.3527695,0.24309409,-0.30140767,0.06727656,0.27726752,0.14752941,0.019872468,0.121419065,0.22108904,-0.1695051,-0.12283677,0.13179809,-0.15633118,0.12637864,-0.23909257,-0.20151073,-0.1759193,0.09323107,-0.010536969,-0.1398146,-0.02129919,-0.23757985,0.161283
2022-03-11,-0.33352566,-0.1380017,0.16191073,0.039506122,0.07809266,-0.39817852,-0.14283924,-0.042344596,-0.24633226,0.121016026,-0.19886327,-0.16972978,0.16959408,-0.13263494,0.049587324,0.32726616,0.29231,-0.322262,-0.42682838,-0.27986586,0.0410215,0.27354145,-0.18919761,-0.101145595,-0.1329721,0.048418492,-0.20939472,-0.09286547,0.16185756,-0.34779307,-0.06823518,0.000322178,-0.020502765,-0.17584094,0.33637702,0.1408867,0.11068651,-0.21602967,-0.06096725,-0.27417535,0.24557342,0.33129898,0.16005078,-0.2778019,-0.039763343,0.30863002,0.09532103,0.010086968,0.21827894,0.14957133,-0.10846189,0.025712155,0.11353664,-0.2283532,0.023580171,-0.27992976,-0.19700316,-0.22205508,-0.043306813,-0.03129679,-0.04321008,-0.037127562,-0.28046635,-0.02069331
2022-03-12,-0.3689279,-0.16548927,0.21064728,-0.01628326,0.06623847,-0.42387676,-0.20049568,-0.056925736,-0.3010456,0.1472117,-0.18863663,-0.16405822,0.16177347,-0.14213677,0.052487962,0.37520003,0.31809035,-0.3574325,-0.47226852,-0.29268444,0.055429496,0.25238168,-0.22458299,-0.11700437,-0.1892458,0.061981827,-0.20297772,-0.08464746,0.13545883,-0.36569268,-0.05912008,-0.009732009,0.019269846,-0.19688186,0.34611884,0.15937422,0.13749292,-0.24012189,-0.08309889,-0.3196249,0.29116485,0.36196002,0.21425931,-0.29514477,0.027099315,0.33600703,0.104786895,0.008627454,0.20877203,0.15130311,-0.13680026,-0.022341117,0.13766345,-0.2255737,0.05182182,-0.29417387,-0.21284,-0.20708485,-0.049987413,-0.028122049,-0.027505035,-0.049417764,-0.35602745,0.03921318
2022-03-13,-0.36414316,-0.14440069,0.22496322,-0.02402277,0.046592258,-0.45328054,-0.2437515,-0.039737593,-0.26278228,0.143526,-0.19626307,-0.14258403,0.16492416,-0.11567364,-0.0026675165,0.3977221,0.32248667,-0.34601316,-0.47625497,-0.2900498,0.07451647,0.25649422,-0.23177235,-0.127267,-0.16954316,0.017032802,-0.19438337,-0.08420743,0.13461438,-0.34972394,-0.05995611,0.009058787,0.0098380735,-0.18633181,0.30925232,0.15557593,0.13062827,-0.26045904,-0.06330953,-0.33978707,0.30673534,0.35416132,0.21777448,-0.2978842,0.022717943,0.3446698,0.10026817,0.016696043,0.22914807,0.13209186,-0.13369864,0.004972689,0.13324931,-0.23685266,0.038693406,-0.30365613,-0.21432927,-0.21017377,-0.08667923,-0.041678578,0.00081400387,-0.056102794,-0.3787372,0.018521477
2022-03-14,-0.2770167,-0.08385707,0.1822828,0.0008033905,-0.0017882511,-0.42546684,-0.2577567,0.010658473,-0.11550507,0.10493208,-0.2109076,-0.08580695,0.14498782,-0.054325502,-0.09920911,0.3680231,0.27654612,-0.26467335,-0.40703592,-0.2722234,0.082594864,0.19391243,-0.20744656,-0.14127314,-0.06854741,-0.09789029,-0.20003897,-0.10249154,0.17996699,-0.30937576,-0.0763002,0.059844065,-0.057249792,-0.1395405,0.21404055,0.13354333,0.123903684,-0.27103493,0.027211882,-0.29513022,0.29224676,0.25918677,0.16024348,-0.27711517,-0.025288131,0.28886062,0.076979436,0.03792318,0.26353952,0.05539104,-0.06845228,0.11725202,0.118514754,-0.24009989,-0.04353322,-0.2760483,-0.17995042,-0.23208523,-0.15983301,-0.09376634,0.028844943,-0.054601695,-0.28568614,-0.08939496
2022-03-15,-0.15433769,-0.056575634,0.10544613,0.036974628,-0.08887447,-0.3468662,-0.27496603,0.057659596,0.052401096,0.06566591,-0.18195361,-0.057366766,0.08015621,-0.038131,-0.19444099,0.322596,0.20183201,-0.1746025,-0.34036142,-0.2959166,0.06497787,0.029667243,-0.18825355,-0.1437893,0.06960414,-0.23315963,-0.24676779,-0.1299282,0.33827084,-0.297396,-0.08106249,0.13903227,-0.14532904,-0.101887554,0.09670341,0.09265122,0.19653411,-0.2650895,0.15150341,-0.19891149,0.25442275,0.114773825,0.09824717,-0.22736397,-0.15576187,0.1639321,0.00059872493,0.047484074,0.29718155,-0.060401373,0.017936535,0.26101688,0.122302175,-0.2519485,-0.14756301,-0.19635472,-0.11751028,-0.27841535,-0.2235044,-0.15696004,-0.0074924156,-0.0704462,-0.07077381,-0.23958574
2022-03-16,-0.345393,-0.27483255,0.31901795,-0.11346398,0.027706139,-0.43862495,-0.2529124,-0.13052562,-0.28035918,0.21827468,-0.11344434,-0.18592332,0.08987894,-0.23701487,0.18478614,0.43217415,0.3185411,-0.3792548,-0.53548795,-0.36369854,-0.035878316,0.05291892,-0.22360408,-0.17722939,-0.21301727,0.12340188,-0.26110467,-0.033741206,0.22907194,-0.44978112,-0.04222671,0.048427954,0.02121453,-0.22285669,0.46049827,0.18014824,0.30018288,-0.2797997,-0.081190765,-0.25426173,0.2866657,0.34003446,0.33539107,-0.32813162,0.01724074,0.3078851,0.10696964,0.026463639,0.21577448,0.13895385,-0.16911836,-0.031940147,0.25215158,-0.21290642,0.10287292,-0.25043887,-0.1843941,-0.21592197,0.08376968,-0.0065272227,-0.17784375,-0.120937794,-0.28185323,0.11945064
